s/295.6/x,s/295.6/y,s/317.2/x,s/317.2/y,s/352.5/x,s/352.5/y,s/380.1/x,s/380.1/y,s/418.3/x,s/418.3/y,x/295/x,x/295/y,x/324/x,x/324/y,x/350/x,x/350/y,x/376/x,x/376/y,x/416/x,x/416/y,x/475/x,x/475/y
0.,79.13053778725421,0.,72.61549395877755,0.,58.59827844902473,51.15396713061258,28.096027797520343,82.73079342612253,26.51662323304115,0.,64.91148238703252,0.,64.91148238703252,0.,60.157339491080336,41.32460485963671,17.27100878384499,70.8126916725643,21.62897310513449,81.25638908547614,20.440437381146438
12.082252103483528,52.87293690278766,11.836518046709132,49.12185106214958,11.467916961547536,42.11324330727317,60.98332940158843,25.233357024401812,91.2086183848392,20.001579404564488,10.976448847998741,39.85318753961786,9.74777856412676,41.83408041293127,9.74777856412676,40.051276826949206,51.15396713061258,19.747124875486747,76.218840921601,24.79840170243594,87.27687347644886,18.558589151498694
21.4201462609106,42.310668877833066,19.45427380671542,38.16473189607519,19.45427380671542,32.63681592039802,72.40996304159786,25.13464423912186,95.63183140677835,15.954355208086554,30.758040418337664,25.78884813909265,21.4201462609106,26.58120528841802,20.9286781473618,24.79840170243594,60.73759534481403,23.411776691116557,81.74785719902493,23.411776691116557,91.33148541322639,16.379606990853944
33.829716128017616,36.3879017610361,32.232444758984045,30.95869857063888,31.86384367382245,27.79988944168049,76.7103090351498,25.628208165521606,,,40.956003774475114,27.472607081409052,30.758040418337664,20.638526668477766,40.46453566092632,16.181517703522616,71.0584257293387,24.402223127773254,87.15400644806165,24.303178484107576,96.73763466226312,12.516865887892777
41.07887080286231,35.10463555239675,41.32460485963671,32.63681592039802,42.0618070299599,29.774145147279476,81.87072422741214,25.529495380241656,,,50.90823307383818,29.849678529385145,41.07887080286231,21.62897310513449,51.64543524416137,18.657633795164372,76.7103090351498,25.39266956442995,91.085751356452,24.600312415104582,,
50.47819847448299,34.314933270157155,50.785366045450985,32.24196477927822,50.66249901706379,28.984442865039888,91.33148541322639,19.508015478164744,,,60.98332940158843,30.6420356787105,51.276834158999776,24.79840170243594,60.98332940158843,22.421330254459832,81.01065502870175,23.90699990944489,97.22910277581192,16.181517703522616,,
60.73759534481403,34.364289662797134,61.720531571911614,33.229092632077716,61.10619642997563,28.392166153360186,96.12329952032714,14.967227355287065,,,70.93555870095149,28.264964230734407,60.98332940158843,26.878339219415025,70.8126916725643,25.39266956442995,86.78540536290006,24.402223127773254,,,,
73.76150035385704,33.130379846797766,72.53283006998507,32.24196477927822,72.77856412675946,29.08315565031983,,,,,76.46457497837541,25.49171420809563,70.8126916725643,26.77929457574936,76.46457497837541,25.986937426423992,91.085751356452,24.996490989767267,,,,
85.55673507902809,26.911474374160946,76.833176063537,30.56384742951908,76.5874420067626,28.293453368080243,,,,,80.64205394354013,24.303178484107576,76.3417079499882,26.185026713755335,81.37925611386335,26.185026713755335,97.22910277581192,15.88438377252561,,,,
91.085751356452,22.469399036563225,82.23932531257373,27.79988944168049,82.11645828418654,26.121772091921358,,,,,86.84683887709366,23.015598116453873,81.50212314225054,23.90699990944489,86.53967130612567,26.680249932083683,,,,,,
96.86050169065032,17.138908631445943,89.48847998741842,23.259101318802813,88.13694267515925,21.877122324883523,,,,,91.4543524416136,22.718464185456867,86.78540536290006,24.79840170243594,91.085751356452,26.383116001086677,,,,,,
,,96.86050169065032,16.941483060886057,96.00043249193993,14.27623785832742,,,,,94.77176220806795,19.54903558815539,91.085751356452,24.105089196776248,97.10623574742472,16.082473059856937,,,,,,
,,,,,,,,,,97.10623574742472,16.379606990853944,97.35196980419911,16.280562347188265,,,,,,,,
