x/295/x,x/295/y,x/324/x,x/324/y,x/350/x,x/350/y,x/376/x,x/376/y,x/416/x,x/416/y,x/475/x,x/475/y
0.,20.64,0.,20.64,0.,20.64,51.954022988505756,251.1520737327189,71.26436781609196,272.8110599078341,82.75862068965519,284.7926267281106
10.80459770114943,99.07834101382485,11.034482758620694,120.73732718894007,9.885057471264371,115.66820276497697,61.3793103448276,205.52995391705068,77.01149425287358,222.5806451612903,88.04597701149427,260.8294930875576
21.149425287356326,144.23963133640552,21.149425287356326,174.1935483870968,21.609195402298855,192.16589861751152,70.11494252873564,156.6820276497696,82.29885057471266,203.68663594470044,93.56321839080462,252.53456221198155
31.034482758620694,162.67281105990784,30.80459770114943,198.6175115207373,30.80459770114943,227.1889400921659,75.86206896551725,125.34562211981569,88.5057471264368,185.25345622119815,97.24137931034485,181.1059907834101
41.14942528735632,156.22119815668205,41.37931034482759,197.23502304147465,41.37931034482759,234.10138248847926,82.29885057471266,104.60829493087556,92.87356321839083,178.80184331797233,,
51.26436781609196,130.87557603686633,51.72413793103449,165.4377880184332,51.72413793103449,194.4700460829493,87.12643678160921,98.15668202764977,97.47126436781612,131.79723502304148,,
61.14942528735634,82.02764976958525,62.068965517241395,123.50230414746545,61.609195402298866,150.23041474654377,93.10344827586209,98.15668202764977,,,,
70.3448275862069,55.76036866359448,70.80459770114943,81.10599078341016,70.80459770114943,113.82488479262673,96.78160919540232,89.86175115207368,,,,
75.63218390804599,42.39631336405529,75.86206896551725,63.59447004608296,75.74712643678163,98.84792626728108,,,,,,
81.83908045977013,31.79723502304148,81.95402298850576,52.07373271889401,82.29885057471266,81.56682027649771,,,,,,
87.12643678160921,27.649769585253466,86.32183908045978,51.61290322580646,87.12643678160921,82.94930875576034,,,,,,
92.87356321839083,29.4930875576037,92.64367816091956,49.76958525345623,92.64367816091956,79.26267281105993,,,,,,
97.47126436781612,27.188940092165865,96.89655172413798,43.77880184331798,97.24137931034485,66.35944700460828,,,,,,
