s/295.6/x,s/295.6/y,s/317.2/x,s/317.2/y,s/352.5/x,s/352.5/y,s/380.1/x,s/380.1/y,s/418.3/x,s/418.3/y
0.,4.152249134947965,0.,4.152249134947965,0.,5.190311418685042,59.79381443298969,756.7474048442906,75,712.1107266435986
11.082474226804123,246.02076124567463,10.824742268041238,322.83737024221455,10.309278350515463,412.1107266435986,70.61855670103093,607.2664359861592,80.6701030927835,646.7128027681661
30.927835051546392,419.3771626297578,19.072164948453608,494.1176470588235,18.298969072164947,657.0934256055363,75.77319587628865,531.4878892733564,89.43298969072166,521.107266435986
39.94845360824742,382.00692041522495,30.670103092783503,570.9342560553632,27.31958762886598,853.2871972318338,81.18556701030927,430.795847750865,95.61855670103093,440.1384083044982
60.30927835051547,228.37370242214524,39.690721649484544,544.9826989619377,48.96907216494846,714.1868512110726,89.94845360824742,357.09342560553637,,
71.64948453608248,128.719723183391,49.22680412371133,461.9377162629757,59.79381443298969,573.0103806228374,94.84536082474227,338.4083044982699,,
81.18556701030927,79.9307958477508,59.5360824742268,361.24567474048433,71.39175257731958,405.8823529411764,,,,
90.97938144329898,74.74048442906565,71.1340206185567,226.2975778546712,75.77319587628865,339.44636678200686,,,,
96.13402061855669,63.321799307958486,75.77319587628865,188.92733564013827,81.18556701030927,286.5051903114186,,,,
,,81.95876288659794,148.44290657439433,85.56701030927836,264.7058823529411,,,,
,,84.79381443298969,132.87197231833898,89.69072164948454,259.51557093425606,,,,
,,88.65979381443299,133.91003460207605,94.84536082474227,242.90657439446363,,,,
,,94.84536082474227,127.68166089965393,,,,,,
