"altitude [km]","mass content [mg/m3]"
44.952224052718286,0
46.00658978583196,9.787234042553193
46.95551894563427,31.382978723404257
48.009884678747945,28.191489361702125
48.932454695222404,22.712765957446813
50.013179571663926,20.37234042553191
50.98846787479407,19.574468085106382
51.99011532125206,17.606382978723403
52.96540362438221,15.79787234042553
54.01976935749588,13.085106382978724
54.94233937397035,10.319148936170214
55.97034596375618,8.138297872340425
56.97199341021417,6.2234042553191475
57.97364085667216,3.085106382978722
58.94892915980231,0
