"altitude [km]","mixing ratio of H2O [ppm]"
70.2840909090909,1.6852791878172586
71.64772727272728,1.6954314720812178
73.06818181818181,1.6852791878172586
74.31818181818183,1.6852791878172586
76.19318181818181,1.5329949238578675
78.01136363636364,1.3604060913705582
80.05681818181819,1.2081218274111674
83.01136363636364,0.9746192893401013
84.60227272727273,0.8883248730964466
86.19318181818181,0.9035532994923856
87.32954545454545,0.8121827411167513
88.23863636363637,0.9543147208121825
89.375,1.0913705583756343
90.22727272727273,1.228426395939086
91.19318181818181,1.3857868020304567
93.18181818181819,1.5329949238578675
95.2840909090909,1.6548223350253801
96.875,1.7868020304568524
98.23863636363636,1.7918781725888322
103.23863636363636,1.4720812182741114
104.375,1.4010152284263957
107.27272727272728,1.2233502538071064
108.4659090909091,1.1472081218274108
109.20454545454545,1.096446700507614
110.22727272727273,1.2436548223350252
111.19318181818181,1.380710659898477
112.44318181818181,1.3959390862944159
113.35227272727273,1.4314720812182737
114.375,1.4720812182741114
114.82954545454545,1.4923857868020303
