"altitude [km]","mixing ratio of SO2 [ppm]"
3.2283464566929183,24.31640625
16.299212598425193,24.609375
33.30708661417322,59.765625
34.40944881889764,66.796875
35.196850393700785,74.70703125
37.32283464566929,89.94140625
38.74015748031496,101.3671875
39.29133858267716,104.58984375
40.15748031496062,109.27734375
41.02362204724409,130.078125
41.96850393700787,149.70703125
42.913385826771645,185.15625
43.85826771653544,214.453125
44.881889763779526,201.5625
45.826771653543304,185.15625
46.77165354330708,167.87109375
47.71653543307086,150.5859375
48.740157480314956,120.1171875
49.60629921259842,89.94140625
50.5511811023622,81.15234375
52.44094488188976,65.0390625
54.40944881889763,47.75390625
55.354330708661415,40.13671875
59.84251968503936,39.2578125
60.70866141732283,0
64.33070866141732,0
