"altitude [km]","mixing ratio of H2SO4 [ppm]"
0,0
29.32330827067669,0
39.34837092731829,0.9744094488188981
39.9749373433584,1.257874015748032
41.10275689223057,1.62992125984252
42.23057644110276,1.9842519685039375
43.23308270676692,2.3208661417322842
44.11027568922306,5.660433070866143
45.11278195488721,8.991141732283467
46.11528822055138,7.130905511811026
47.24310776942357,5.297244094488191
47.994987468671674,3.472440944881891
49.498746867167924,1.6387795275590555
51.00250626566416,1.6476377952755912
52.255639097744364,1.2312992125984255
53.258145363408524,0.7883858267716539
54.26065162907268,0.38090551181102383
55.388471177944865,0
100,0
