"Altitude [km]","Refraction []"
47.84,1.000473853
47.905,1.000470579
47.974,1.000467093
48.029,1.000464304
48.08,1.000461691
48.127,1.000459305
48.179,1.000456634
48.214,1.000454869
48.263,1.000452424
48.308,1.000450235
48.357,1.00044784
48.423,1.000444669
48.457,1.000442969
48.514,1.00044027
48.557,1.000438232
48.628,1.00043499
48.69,1.000432108
48.758,1.000429027
48.827,1.00042585
48.888,1.000423052
48.95,1.00042023
49.002,1.000417903
49.059,1.000415349
49.13,1.000412251
49.205,1.000408947
49.276,1.000405865
49.37,1.000401813
49.465,1.000397686
49.543,1.000394208
49.583,1.000392366
49.614,1.000390989
49.663,1.000388861
49.735,1.000385792
49.8,1.000383036
49.858,1.000380586
49.912,1.000378363
49.986,1.000375349
50.05,1.000372751
50.124,1.000369768
50.228,1.00036567
50.304,1.000362604
50.368,1.000360056
50.445,1.000357028
50.522,1.000353975
50.579,1.000351689
50.637,1.000349468
50.721,1.000346279
50.813,1.000342796
50.876,1.00034039
50.948,1.000337695
51.027,1.000334775
51.105,1.000331902
51.196,1.000328599
51.287,1.00032533
51.359,1.000322726
51.443,1.000319744
51.529,1.000316699
51.617,1.000313612
51.712,1.000310332
51.795,1.000307413
51.871,1.000304812
51.956,1.00030191
52.053,1.000298678
52.151,1.00029543
52.248,1.000292207
52.343,1.000289084
52.436,1.000286012
52.518,1.000283358
52.629,1.000279795
52.707,1.000277283
52.819,1.000273752
52.912,1.000270824
53.007,1.000267839
53.105,1.000264797
53.211,1.000261552
53.288,1.000259178
53.406,1.000255649
53.498,1.000252909
53.608,1.000249652
53.702,1.000246906
53.829,1.000243262
53.932,1.000240297
54.054,1.000236829
54.189,1.000232977
54.255,1.000231032
54.387,1.000227351
54.476,1.000224864
54.593,1.000221641
54.69,1.000218974
54.812,1.000215682
54.905,1.000213179
55.044,1.000209531
55.157,1.000206545
55.272,1.000203535
55.387,1.000200528
55.502,1.000197553
55.603,1.000194952
55.717,1.000192035
55.801,1.000189895
55.917,1.000187071
56.043,1.000184008
56.159,1.000181222
56.261,1.000178778
56.382,1.000175942
56.463,1.000174064
56.629,1.000170433
56.764,1.000167463
56.902,1.00016447
57.049,1.00016134
57.208,1.000158007
57.414,1.000153741
57.677,1.00014807
57.76,1.00014608
57.84,1.000144236
57.918,1.000142492
58.063,1.000139389
58.13,1.000137912
58.234,1.000135779
58.36,1.000133283
58.47,1.000131135
58.573,1.000129192
58.748,1.000126116
58.973,1.000122204
59.183,1.000118435
59.316,1.000115936
59.398,1.000114412
59.556,1.00011169
59.705,1.000109151
59.845,1.00010683
60.027,1.000103909
60.21,1.000100972
60.331,1.000099015
60.534,1.000095948
60.731,1.00009298
60.948,1.000089668
61.108,1.000087134
61.232,1.000085127
61.297,1.000084076
61.401,1.000082604
61.61,1.000080006
62.043,1.000074695
62.335,1.000070647
62.575,1.000066935
62.68,1.000065188
62.748,1.000064144
62.856,1.00006267
62.927,1.00006176
63.088,1.000060045
63.366,1.000057286
63.553,1.000055345
63.676,1.00005413
63.983,1.000051549
64.253,1.000049334
64.879,1.000044022
65.027,1.000042386
65.109,1.0000415
65.334,1.000039502
65.529,1.000037791
65.709,1.000036273
65.906,1.000034729
66.137,1.000033031
66.29,1.000031952
66.595,1.000030176
66.887,1.000028537
67.23,1.000026705
67.492,1.000025289
67.73,1.000024121
68.081,1.0000227
68.546,1.000020962
68.924,1.000019496
69.267,1.000018233
69.677,1.000016874
70.05,1.000015714
70.561,1.000014279
70.924,1.0000132
71.321,1.000012173
71.739,1.000011233
72.212,1.000010334
72.737,1.000009471
73.299,1.000008638
73.931,1.000007726
74.438,1.000006914
74.901,1.000006248
75.468,1.000005627
76.083,1.000005024
76.663,1.000004467
77.257,1.00000396
77.865,1.0000035
78.486,1.000003083
79.12,1.000002703
79.772,1.000002346
80.412,1.000002005
81.028,1.000001706
81.677,1.000001464
82.345,1.000001261
83.024,1.000001083
83.699,1.000000926
84.39,1.000000796
85.083,1.000000682
85.781,1.000000582
86.487,1.000000491
87.177,1.000000406
87.886,1.000000344
88.594,1.000000286
89.301,1.000000236
90.011,1.000000195
90.724,1.00000016
91.436,1.000000132
92.152,1.00000011
92.869,1.000000093
93.588,1.00000008
94.308,1.000000068
95.025,1.000000057
