"ALT [km]","RHO [g/cm3]","T [K]","CO2 [cm-3]","O [cm-3]","CO [cm-3]","HE [cm-3]","N [cm-3]","N2 [cm-3]","M [mole]","NTOT [cm-3]","P [mbar]","SS [cm/s]","MFP [cm]","HP [km]","HRHO [km]"
150.,.994E-12,246.5,.981E+10,.401E+10,.234E+10,.502E+07,.465E+08,.132E+10,34.2,.175E+11,.596E-06,.290E+05,.141E+05,7.1,6.0
145.,.237E-11,236.0,.259E+11,.583E+10,.439E+10,.565E+07,.649E+08,.248E+10,36.9,.387E+11,.126E-05,.273E+05,.600E+04,6.3,5.5
140.,.613E-11,225.0,.717E+11,.913E+10,.842E+10,.703E+07,.902E+08,.554E+10,38.9,.949E+11,.295E-05,.259E+05,.234E+04,5.7,5.1
135.,.169E-10,215.0,.207E+12,.154E+11,.164E+11,.106E+08,.124E+09,.134E+11,40.4,.253E+12,.750E-05,.249E+05,.852E+03,5.2,4.8
130.,.497E-10,206.0,.626E+12,.276E+11,.326E+11,.185E+08,.172E+09,.355E+11,41.4,.722E+12,.205E-04,.241E+05,.292E+03,4.9,4.5
125.,.154E-09,198.0,.198E+13,.442E+11,.668E+11,.365E+08,.200E+09,.104E+12,42.2,.219E+13,.599E-04,.234E+05,.948E+02,4.6,4.3
120.,.508E-09,189.0,.662E+13,.120E+12,.143E+12,.819E+08,.130E+09,.323E+12,42.5,.720E+13,.188E-03,.228E+05,.288E+02,4.3,4.1
115.,.176E-08,182.0,.231E+14,.232E+12,.329E+12,.220E+09,.449E+08,.106E+13,42.8,.247E+14,.620E-03,.222E+05,.835E+01,4.1,4.0
110.,.621E-08,178.0,.821E+14,.345E+12,.667E+12,.681E+09,.686E+06,.357E+13,43.1,.867E+14,.213E-02,.219E+05,.237E+01,4.0,3.9
105.,.225E-07,175.0,.299E+15,.317E+12,.698E+12,.229E+10,.251E+06,.129E+14,43.3,.313E+15,.756E-02,.217E+05,.654E+00,3.9,3.9
100.,.814E-07,175.0,.108E+16,.127E+12,.542E+12,.781E+10,.458E+04,.461E+14,43.3,.113E+16,.273E-01,.217E+05,.181E+00,3.9,3.9
