"NTOT [cm-3]","P [mbar]","SS [cm/s]","MFP [cm]","HP [km]","HRHO [km]"
.109E+10,.192E-07,.281E+05,.407E+06,6.7,5.6
.540E+09,.950E-08,.297E+05,.922E+06,7.5,6.6
.285E+09,.501E-08,.310E+05,.188E+07,8.2,7.2
.158E+09,.278E-08,.324E+05,.360E+07,8.9,7.6
.930E+08,.163E-08,.342E+05,.653E+07,10.0,7.9
.583E+08,.102E-08,.369E+05,.112E+08,11.6,8.3
.394E+08,.692E-09,.408E+05,.180E+08,14.2,8.7
.288E+08,.506E-09,.461E+05,.270E+08,18.2,9.3
.227E+08,.398E-09,.529E+05,.375E+08,24.0,10.2
.189E+08,.332E-09,.608E+05,.488E+08,31.7,11.7
.164E+08,.289E-09,.691E+05,.600E+08,41.0,14.0
.147E+08,.259E-09,.769E+05,.707E+08,50.8,17.3
.135E+08,.237E-09,.836E+05,.810E+08,60.3,21.9
.125E+08,.219E-09,.892E+05,.909E+08,68.6,27.5
.116E+08,.204E-09,.935E+05,.101E+09,75.5,34.0
.109E+08,.192E-09,.969E+05,.110E+09,81.2,40.6
.103E+08,.181E-09,.996E+05,.120E+09,86.0,46.9
.971E+07,.171E-09,.102E+06,.130E+09,90.0,52.5
.920E+07,.162E-09,.104E+06,.140E+09,93.5,57.4
.873E+07,.153E-09,.105E+06,.150E+09,96.6,61.7
.829E+07,.146E-09,.107E+06,.161E+09,99.5,65.6
