"Electron density [1e11/m3]","Altitude [km]"
-0.01929248713550602,105.62673170731716
0.025522881646655227,119.28214634146343
-0.002219965694682746,131.42029268292686
-0.002219965694682746,149.627512195122
-0.010756226415094383,166.31746341463418
0.016986620926243534,185.2833170731708
0.016986620926243534,201.2146341463415
0.014852555746140639,215.6286829268293
-0.023560617495711866,230.04273170731716
-0.047035334476843965,241.4222439024391
-0.051303464837049756,257.3535609756098
-0.061973790737564344,270.2503414634147
-0.0320968782161235,282.38848780487814
-0.025694682675814817,296.80253658536594
-0.0043540308747856415,311.9752195121952
-0.006488096054888537,329.4238048780488
-0.0043540308747856415,348.38965853658544
