"Electron density [1e11/m3]","Altitude [km]"
-0.07507544013516088,108.75870089589472
-0.058046446867574236,108.90018910532166
-0.015989303237555208,113.09264616318075
0.006320421061982218,120.07544732535581
0.04403488586887283,126.17586086609535
0.08708110328899149,131.8234735064527
0.1391182339044339,135.85517756395618
0.1870295422545874,137.97098321901407
0.23314851175908852,139.83089110155157
0.29455680049327676,140.66898434234733
0.3354050962712917,140.95015867645336
0.39524913582675286,142.56203386202466
0.42739612630590423,144.38081882218793
0.3677752813035638,148.2599546618976
0.3244490336449842,149.53697727294696
0.2704673081984846,152.11986381757163
0.21988308299096132,153.80443422108365
0.16902332168158302,156.18481438721753
0.12917332918785662,161.08272997855454
0.09122566645354857,169.24453108386024
0.08523753505860321,177.5477178635565
0.06866435585955716,183.86669411626605
0.0597849325545759,190.78972595513142
0.05676204132574875,200.82966853015643
0.0591599878058382,208.30876758400382
0.05459333425126023,216.30029084054328
0.05820443612529064,226.29130176639268
0.03846357538475198,231.83932424822024
0.023007701322639684,239.47085250862875
0.020736785957576664,249.96343221693718
0.008334403162406412,257.6828553889921
0.027153051908769876,261.45853037763334
0.013378114857381718,267.3000176785515
-0.0022002724398123563,276.4187501995805
0.006012400270152651,286.52589866412995
0.013705022096870856,291.2035972877236
-0.004202635412734079,297.12067948029664
-0.004679019640334348,308.21799988527107
0.005112031801727757,314.3995248682875
0.02012356667708448,318.80592042296206
0.006852112336494243,327.8463860315005
0.0016134571815623056,337.1464400153488
0.0007667128456610439,347.02554426375013
