"Altitude [km]","Mass mixing ratio [ppm]"
40.00397193168277,0.001647807925597032
40.75455525541584,0.0016465362420808945
41.576246472976244,0.0016465362420808945
42.37674327421069,0.0016595678308854573
43.16432276845357,0.001685941242168113
43.921514515318286,0.0016753556057639743
44.25257855550454,0.0017077090721322444
44.839308711942095,0.0016465362420808945
45.66099992950251,0.0015337616474419638
46.42343456887346,0.0013466867979179352
47.201670962428274,0.0011685297165019387
48.03126305708061,0.000990242996952002
48.858221526035635,0.0008491401346348129
49.57193409000638,0.0007634124482801976
50.211905134452465,0.0007027651981920385
50.43839694442104,0.0006702980656608531
51.21795015082451,0.0005955418216444619
51.79208055283787,0.0005417859072664636
52.00277060862258,0.0005167558760412372
52.74018580386911,0.0004379126009011368
53.51898654578763,0.0003376019136875452
54.10111188295353,0.00022852361531937426
54.50998227246075,0.000151453157013139
54.54158578082846,0.0000887330638258303
54.57175276608855,0.0000760892084019223
54.61269367465581,0.00004912549866486087
54.63639630593159,0.00004172882003443378
54.66799981429929,0.000026877749144384175
54.699603322667,0.000022509162921809196
54.76281033940242,0.000011471807435308802
54.79441384777013,0.000007765296353713052
54.810215601953985,0.000006641319679930843
54.85762086450554,0.000004299119620228102
54.871986095581775,0.000003686524443362059
54.92082788124096,0.0000023245017824565828
54.936629635424815,0.0000019932761580637754
54.97645211930926,9.540954763499963e-7
