 S  3212 42.606  0.00416 0.00043 16.22  1.84 64.900 130.870 110.147 21.832 73314.153
 S  3212 42.697  0.00409 0.00043 15.95  1.85 64.917 130.846 110.139 21.834 73313.834
 S  3212 42.789  0.00402 0.00044 15.71  1.87 64.936 130.819 110.131 21.836 73313.463
 S  3212 42.882  0.00397 0.00044 15.51  1.86 64.961 130.781 110.119 21.838 73312.956
 S  3212 42.975  0.00392 0.00043 15.36  1.84 64.992 130.735 110.104 21.841 73312.323
 S  3212 43.067  0.00388 0.00043 15.24  1.83 65.027 130.683 110.088 21.845 73311.548
 S  3212 43.156  0.00384 0.00043 15.13  1.84 65.053 130.644 110.076 21.847 73311.026
 S  3212 43.245  0.00381 0.00044 15.02  1.88 65.073 130.615 110.067 21.849 73310.662
 S  3212 43.334  0.00378 0.00045 14.92  1.96 65.089 130.591 110.059 21.851 73310.333
 S  3212 43.425  0.00375 0.00048 14.86  2.07 65.115 130.553 110.047 21.854 73309.902
 S  3212 43.515  0.00373 0.00049 14.85  2.13 65.152 130.495 110.030 21.857 73308.963
 S  3212 43.603  0.00372 0.00049 14.84  2.13 65.186 130.444 110.014 21.861 73308.338
 S  3212 43.690  0.00371 0.00049 14.85  2.11 65.210 130.408 110.003 21.863 73307.872
 S  3212 43.776  0.00370 0.00048 14.86  2.10 65.233 130.372 109.992 21.866 73307.397
 S  3212 43.861  0.00370 0.00048 14.88  2.12 65.259 130.334 109.981 21.868 73306.875
 S  3212 43.947  0.00369 0.00050 14.89  2.17 65.286 130.292 109.968 21.871 73306.300
 S  3212 44.030  0.00369 0.00051 14.90  2.23 65.310 130.254 109.957 21.873 73305.801
 S  3212 44.113  0.00368 0.00052 14.91  2.28 65.330 130.224 109.947 21.875 73305.396
 S  3212 44.196  0.00367 0.00052 14.92  2.30 65.351 130.192 109.937 21.878 73304.984
 S  3212 44.279  0.00367 0.00051 14.95  2.26 65.374 130.156 109.927 21.880 73304.497
 S  3212 44.361  0.00368 0.00049 15.01  2.16 65.400 130.116 109.915 21.883 73303.964
 S  3212 44.443  0.00369 0.00046 15.09  2.04 65.428 130.072 109.902 21.886 73303.376
 S  3212 44.522  0.00370 0.00045 15.18  1.99 65.452 130.034 109.890 21.888 73302.873
 S  3212 44.600  0.00371 0.00046 15.26  2.02 65.472 130.003 109.881 21.890 73302.461
