"H [km]","Ls = 20°-90°, P [bar]","Ls = 20°-90°, T [K]","Ls = 90°-130°, P [bar]","Ls = 90°-130°, T [K]","Ls = 200°-270°, P [bar]","Ls = 200°-270°, T [K]","Ls = 270°-310°, P [bar]","Ls = 270°-310°, T [K]"
100,0.2682e-4,168.3,0.2654e-4,166.2,0.2699e-4,167.1,0.2523e-4,165.5
99,0.3503e-4,168.3,0.3477e-4,166.4,0.3531e-4,167.3,0.3310e-4,165.5
98,0.4572e-4,169.2,0.4551e-4,167.4,0.4615e-4,168.2,0.4340e-4,166.1
97,0.5958e-4,170.2,0.5946e-4,168.7,0.6023e-4,169.3,0.5685e-4,166.9
96,0.7753e-4,171.2,0.7754e-4,170.0,0.7847e-4,170.4,0.7438e-4,167.7
95,0.1007e-3,172.5,0.1009e-3,171.5,0.1021e-3,171.7,0.9719e-4,168.6
94,0.1305e-3,174.2,0.1309e-3,173.4,0.1325e-3,173.3,0.1268e-3,169.7
93,0.1688e-3,176.1,0.1695e-3,175.3,0.1715e-3,175.0,0.1651e-3,171.1
92,0.2176e-3,177.9,0.2188e-3,177.2,0.2215e-3,176.7,0.2145e-3,172.7
91,0.2798e-3,179.8,0.2816e-3,179.2,0.2854e-3,178.5,0.2780e-3,174.3
90,0.3589e-3,181.9,0.3615e-3,181.2,0.3667e-3,180.3,0.3595e-3,176.0
89,0.4590e-3,184.2,0.4628e-3,183.6,0.4700e-3,182.6,0.4636e-3,178.1
88,0.5849e-3,187.3,0.5902e-3,186.6,0.6003e-3,185.4,0.5960e-3,180.5
87,0.7424e-3,190.6,0.7498e-3,189.7,0.7639e-3,188.5,0.7636e-3,183.1
86,0.9383e-3,194.0,0.9487e-3,193.1,0.9681e-3,191.7,0.9748e-3,185.9
85,0.1181e-2,197.9,0.1195e-2,196.8,0.1222e-2,195.5,0.1240e-2,189.1
84,0.1479e-2,202.5,0.1499e-2,201.1,0.1535e-2,199.7,0.1570e-2,192.8
83,0.1843e-2,206.9,0.1871e-2,205.3,0.1919e-2,204.0,0.1978e-2,196.8
82,0.2287e-2,211.1,0.2326e-2,209.1,0.2388e-2,207.9,0.2482e-2,200.7
81,0.2826e-2,214.4,0.2882e-2,212.2,0.2962e-2,211.3,0.3101e-2,204.3
80,0.3484e-2,217.0,0.3560e-2,214.6,0.3662e-2,214.1,0.3860e-2,208.1
79,0.4286e-2,219.2,0.4389e-2,216.9,0.4515e-2,216.9,0.4785e-2,211.9
78,0.5262e-2,221.3,0.5400e-2,219.3,0.5554e-2,219.6,0.5910e-2,215.9
77,0.6449e-2,223.3,0.6628e-2,221.6,0.6814e-2,222.3,0.7270e-2,220.1
76,0.7887e-2,225.7,0.8119e-2,224.2,0.8341e-2,225.0,0.8911e-2,223.9
75,0.9626e-2,228.3,0.9922e-2,226.7,0.1019e-1,227.5,0.1089e-1,227.3
74,0.1173e-1,230.0,0.1210e-1,228.7,0.1241e-1,229.6,0.1327e-1,230.0
73,0.1427e-1,231.6,0.1474e-1,230.6,0.1511e-1,231.4,0.1614e-1,232.4
72,0.1734e-1,232.7,0.1793e-1,232.2,0.1836e-1,233.2,0.1959e-1,234.9
71,0.2106e-1,234.1,0.2177e-1,234.2,0.2228e-1,235.2,0.2373e-1,237.1
70,0.2554e-1,235.6,0.2639e-1,236.3,0.2699e-1,237.2,0.2870e-1,239.5
69,0.3094e-1,237.1,0.3194e-1,238.4,0.3264e-1,239.3,0.3464e-1,241.8
68,0.3745e-1,237.9,0.3861e-1,239.7,0.3943e-1,240.5,0.4177e-1,243.1
67,0.4533e-1,237.5,0.4666e-1,239.5,0.4762e-1,240.4,0.5033e-1,243.4
66,0.5493e-1,235.5,0.5643e-1,238.2,0.5755e-1,239.3,0.6066e-1,243.4
65,0.6668e-1,234.0,0.6832e-1,237.6,0.6960e-1,239.0,0.7309e-1,243.8
64,0.8099e-1,233.4,0.8271e-1,237.8,0.8417e-1,239.3,0.8803e-1,244.8
63,0.9841e-1,233.5,0.1001,238.5,0.1017,240.2,0.1059,245.8
62,0.1195,234.5,0.1211,239.7,0.1229,241.0,0.1275,245.7
61,0.1451,233.9,0.1464,238.7,0.1485,239.9,0.1534,244.8
60,0.1763,233.4,0.1773,237.5,0.1796,238.8,0.1849,243.4
59,0.2141,235.1,0.2147,238.2,0.2173,239.3,0.2230,243.0
58,0.2597,236.5,0.2597,239.5,0.2626,240.6,0.2688,244.6
57,0.3145,238.6,0.3138,241.5,0.3170,242.7,0.3236,245.7
56,0.3806,240.7,0.3791,242.3,0.3824,244.8,0.3890,250.9
55,0.4565,256.8,0.4543,257.6,0.4575,259.9,0.4635,265.3
54,0.5416,272.0,0.5390,272.1,0.5420,274.2,0.5474,278.9
53,0.6370,286.4,0.6340,285.8,0.6368,287.9,0.6416,291.9
52,0.7434,300.1,0.7402,299.0,0.7427,300.8,0.7469,304.4
51,0.8619,313.2,0.8588,311.6,0.8610,313.3,0.8645,316.4
50,0.9934,325.7,0.9906,323.8,0.9924,325.3,0.9953,327.9
