"H [km]","Ls = 20°-90°, P [bar]","Ls = 20°-90°, T [K]","Ls = 90°-130°, P [bar]","Ls = 90°-130°, T [K]","Ls = 200°-270°, P [bar]","Ls = 200°-270°, T [K]","Ls = 270°-310°, P [bar]","Ls = 270°-310°, T [K]"
100,0.2504e-4,171.9,0.2480e-4,166.8,0.2554e-4,168.0,0.2557e-4,168.9
99,0.3253e-4,171.4,0.3246e-4,167.0,0.3338e-4,167.8,0.3336e-4,168.8
98,0.4227e-4,171.7,0.4246e-4,167.7,0.4360e-4,168.4,0.4353e-4,169.1
97,0.5490e-4,172.2,0.5547e-4,168.7,0.5691e-4,169.1,0.5676e-4,169.6
96,0.7126e-4,172.6,0.7234e-4,169.8,0.7419e-4,169.9,0.7396e-4,170.0
95,0.9243e-4,173.2,0.9419e-4,170.9,0.9661e-4,170.7,0.9632e-4,170.5
94,0.1198e-3,174.1,0.1224e-3,172.3,0.1256e-3,171.9,0.1253e-3,171.3
93,0.1549e-3,175.3,0.1588e-3,173.8,0.1630e-3,173.4,0.1628e-3,172.4
92,0.2001e-3,176.6,0.2054e-3,175.4,0.2110e-3,174.9,0.2112e-3,173.6
91,0.2580e-3,177.9,0.2652e-3,177.0,0.2727e-3,176.5,0.2735e-3,174.8
90,0.3320e-3,179.1,0.3416e-3,178.7,0.3515e-3,178.0,0.3535e-3,176.2
89,0.4265e-3,180.7,0.4389e-3,180.7,0.4521e-3,180.0,0.4559e-3,177.9
88,0.5463e-3,183.1,0.5621e-3,183.2,0.5795e-3,182.7,0.5864e-3,180.0
87,0.6974e-3,185.8,0.7174e-3,186.1,0.7401e-3,185.6,0.7519e-3,182.5
86,0.8869e-3,189.0,0.9120e-3,189.4,0.9413e-3,189.0,0.9606e-3,185.4
85,0.1123e-2,192.5,0.1154e-2,193.0,0.1192e-2,192.8,0.1222e-2,188.8
84,0.1416e-2,197.0,0.1454e-2,197.2,0.1501e-2,197.4,0.1548e-2,192.7
83,0.1775e-2,201.7,0.1823e-2,201.5,0.1882e-2,202.0,0.1951e-2,196.9
82,0.2213e-2,206.5,0.2275e-2,205.4,0.2346e-2,206.5,0.2447e-2,200.9
81,0.2747e-2,211.0,0.2828e-2,208.7,0.2913e-2,210.3,0.3057e-2,204.8
80,0.3394e-2,215.0,0.3506e-2,211.6,0.3604e-2,213.6,0.3803e-2,208.5
79,0.4180e-2,218.5,0.4335e-2,214.2,0.4446e-2,216.4,0.4713e-2,211.9
78,0.5133e-2,221.4,0.5347e-2,216.4,0.5471e-2,219.0,0.5824e-2,215.2
77,0.6289e-2,223.7,0.6582e-2,218.8,0.6717e-2,221.5,0.7171e-2,218.7
76,0.7691e-2,225.9,0.8082e-2,221.5,0.8226e-2,224.5,0.8803e-2,222.2
75,0.9386e-2,228.1,0.9900e-2,224.2,0.1005e-1,227.3,0.1077e-1,225.4
74,0.1144e-1,229.5,0.1210e-1,226.8,0.1225e-1,229.4,0.1315e-1,228.3
73,0.1393e-1,230.9,0.1476e-1,229.1,0.1491e-1,231.3,0.1601e-1,230.9
72,0.1694e-1,232.0,0.1796e-1,231.4,0.1812e-1,233.1,0.1946e-1,233.3
71,0.2058e-1,233.4,0.2182e-1,233.6,0.2199e-1,234.9,0.2361e-1,235.3
70,0.2498e-1,234.4,0.2647e-1,235.4,0.2666e-1,236.3,0.2861e-1,237.0
69,0.3030e-1,235.3,0.3207e-1,237.0,0.3228e-1,237.5,0.3462e-1,238.4
68,0.3674e-1,235.2,0.3883e-1,237.5,0.3907e-1,237.7,0.4186e-1,238.9
67,0.4459e-1,234.1,0.4703e-1,236.5,0.4731e-1,236.8,0.5063e-1,238.4
66,0.5420e-1,231.7,0.5703e-1,234.8,0.5736e-1,235.1,0.6128e-1,237.5
65,0.6602e-1,229.2,0.6927e-1,233.0,0.6964e-1,233.6,0.7423e-1,236.6
64,0.8060e-1,226.8,0.8425e-1,231.6,0.8464e-1,232.5,0.8998e-1,236.1
63,0.9859e-1,225.1,0.1026,230.9,0.1030,231.8,0.1091,235.9
62,0.1207,224.6,0.1249,230.9,0.1253,231.5,0.1323,236.2
61,0.1478,224.6,0.1521,231.2,0.1525,231.4,0.1603,237.1
60,0.1808,226.5,0.1850,232.4,0.1856,232.4,0.1941,238.8
59,0.2208,229.0,0.2248,234.4,0.2255,234.4,0.2345,241.4
58,0.2690,231.2,0.2727,236.6,0.2735,236.6,0.2827,244.8
57,0.3273,233.2,0.3303,238.8,0.3311,240.3,0.3399,249.8
56,0.3952,248.1,0.3972,253.1,0.3976,254.4,0.4055,263.2
55,0.4715,264.0,0.4725,267.9,0.4727,268.9,0.4797,276.3
54,0.5570,279.1,0.5571,281.9,0.5570,282.7,0.5631,288.8
53,0.6525,293.4,0.6517,295.3,0.6514,295.8,0.6567,300.7
52,0.7588,307.0,0.7574,308.1,0.7570,308.4,0.7615,312.3
51,0.8768,320.1,0.8750,320.4,0.8744,320.4,0.8783,323.4
50,1.007,332.6,1.006,332.2,1.005,332.1,1.008,334.2
