"altitude [km]","concentration [%]"
40.97199341021417,99.36170212765957
42,99.14893617021276
42.97528830313016,99.04255319148936
44.00329489291598,99.04255319148936
45.031301482701814,98.93617021276596
46.0329489291598,98.61702127659574
46.98187808896211,98.51063829787233
48.03624382207578,98.19148936170212
48.985172981878094,97.7659574468085
50.039538714991764,97.02127659574468
51.04118616144976,96.06382978723403
52.0164744645799,94.99999999999999
52.99176276771005,93.40425531914894
54.01976935749588,91.27659574468083
54.99505766062603,89.04255319148935
56.02306425041186,86.70212765957446
56.99835255354201,84.36170212765957
58,82.12765957446808
58.97528830313015,80
