"altitude [km]","real part of dielectric constant []"
0,1.0330816326530612
4.145077720207212,1.0282244897959183
5.1813471502590005,1.026795918367347
5.699481865284952,1.025408163265306
7.253886010362692,1.0240204081632651
8.29015544041448,1.0214489795918367
9.32642487046627,1.0203469387755102
10.880829015544009,1.0191224489795918
11.917098445595798,1.0180204081632653
13.471502590673538,1.0170408163265305
14.507772020725383,1.015938775510204
15.544041450777172,1.0141836734693876
16.58031088082896,1.0133265306122448
17.616580310880806,1.0125102040816325
19.68911917098444,1.0110408163265305
22.27979274611397,1.009
24.870466321243498,1.0078571428571428
27.97927461139892,1.0063061224489795
31.60621761658024,1.004795918367347
33.67875647668393,1.0040204081632653
36.26943005181346,1.0031632653061224
39.37823834196888,1.002469387755102
41.96891191709841,1.001938775510204
46.63212435233157,1.0011632653061224
49.74093264248705,1.0008367346938776
53.36787564766837,1.0005102040816327
58.03108808290153,1.0003061224489795
63.21243523316059,1.000061224489796
66.32124352331607,0.9999795918367347
69.4300518134715,0.9998979591836734
375.6476683937824,0.9998979591836734
