"0 ppm SO2: mixing ratio of H2SO4 [ppm]","0 ppm SO2: altitude [km]","50 ppm SO2: mixing ratio of H2SO4 [ppm]","50 ppm SO2: altitude [km]","100 ppm SO2: mixing ratio of H2SO4 [ppm]","100 ppm SO2: altitude [km]","150 ppm SO2: mixing ratio of H2SO4 [ppm]","150 ppm SO2: altitude [km]","200 ppm SO2: mixing ratio of H2SO4 [ppm]","200 ppm SO2: altitude [km]"
0,42.038216560509554,0,42.038216560509554,0,42.038216560509554,0,35.828025477707016,0,30.09554140127389
1.3115577889447239,42.675159235668794,1.3680904522613067,42.675159235668794,0.949748743718593,43.47133757961783,0.05653266331658302,36.94267515923568,0.13567839195979925,32.00636942675159
2.4535175879396984,43.152866242038215,2.6118090452261304,43.152866242038215,1.2550251256281406,44.10828025477707,0.11306532663316582,38.05732484076434,0.3278894472361811,34.07643312101911
5.110552763819095,44.42675159235669,4.579145728643216,44.10828025477707,2.1821608040201004,44.26751592356688,0.19221105527638205,38.69426751592357,0.5766331658291457,35.98726114649682
7.236180904522613,45.54140127388535,6.026381909547738,44.58598726114649,2.770100502512563,44.42675159235669,0.5992462311557789,41.40127388535032,0.8366834170854269,38.05732484076434
8.242462311557787,46.01910828025478,7.903266331658291,45.54140127388535,4.511306532663316,44.904458598726116,0.6783919597989951,42.038216560509554,1.0175879396984926,39.96815286624205
6.116834170854271,46.97452229299363,8.96608040201005,46.01910828025478,5.336683417085427,45.22292993630573,0.7688442211055277,42.19745222929936,1.492462311557789,42.038216560509554
4.692211055276382,47.611464968152866,7.349246231155779,46.65605095541401,6.015075376884423,45.38216560509554,1.0402010050251258,42.9936305732484,2.3178391959798996,44.10828025477707
3.007537688442211,48.40764331210191,5.641959798994974,47.452229299363054,6.580402010050252,45.54140127388535,1.3115577889447239,43.63057324840764,6.670854271356784,46.01910828025478
0.24874371859296507,52.07006369426752,4.4208542713567835,47.92993630573249,7.74497487437186,45.85987261146497,1.4020100502512562,43.94904458598726,5.641959798994974,48.2484076433121
0.033919597989950034,53.98089171974522,2.984924623115578,48.88535031847134,8.332914572864322,46.01910828020000,1.492462311557789,44.10828025477707,1.662060301507538,50.159235668789805
0,56.05095541401274,1.537688442211055,49.840764331210195,8.491206030150753,46.01910828025478,2.0351758793969847,44.26751592356688,0.3731155778894475,52.07006369426752
,,1.3228643216080402,50,7.846733668341709,46.33757961783439,2.883165829145729,44.42675159235669,0.05653266331658302,53.98089171974522
,,1.0062814070351762,50.63694267515924,6.987437185929648,46.81528662420382,4.940954773869347,45.22292993630000,0,56.05095541401274
,,0.7575376884422111,51.27388535031847,6.365577889447236,46.97452229299363,4.940954773869347,45.22292993630573,,
,,0.28266331658291466,52.22929936305732,5.483668341708543,47.452229299363054,5.8454773869346734,45.38216560509554,,
,,0.12437185929648265,53.34394904458599,4.624371859296483,47.92993630573249,6.478643216080402,45.70063694267516,,
,,0.05653266331658302,53.98089171974522,3.4371859296482414,48.72611464968153,6.930904522613065,45.93949044585987,,
,,0,56.05095541401274,2.8605527638190953,49.044585987261144,7.281407035175879,46.01910828025478,,
,,,,2.001256281407035,49.681528662420384,6.908291457286432,46.33757961783439,,
,,,,1.3907035175879394,50,5.732412060301507,47.29299363057324,,
,,,,1.1871859296482414,50.47770700636943,4.99748743718593,47.92993630573249,,
,,,,0.8819095477386938,50.95541401273885,3.8103015075376883,48.56687898089172,,
,,,,0.3391959798994977,52.07006369426752,3.0979899497487438,49.044585987261144,,
,,,,0.27135678391959805,52.22929936305732,1.2889447236180902,50.318471337579616,,
,,,,0.21482412060301503,52.70700636942676,0.6557788944723619,51.43312101910828,,
,,,,0.045226130653266416,53.98089171974522,0.28266331658291466,52.22929936305732,,
,,,,0,55.89171974522293,0.045226130653266416,53.98089171974522,,
,,,,,,0,56.05095541401274,,
