"Altitude [km]","Mass mixing ratio [ppm]"
42.993695746003674,0.0000011035422538081702
42.99445391097714,0.000001444186186266772
43.03790873498274,0.0000018349256911239278
43.07741312044237,0.00000236610077995968
43.12410012144013,0.000003124058345781573
43.16607851891845,0.000004062963459603163
43.210291507897516,0.000005256349341725695
43.24157578890797,0.000006729155658820244
43.296482894354895,0.000008844011649003919
43.330959448937854,0.000011471807435308802
43.387127502445914,0.000014986345227297894
43.41427778917999,0.00001930176097460293
43.46771644878358,0.000025696722219795974
43.50248030798805,0.00003341083935931206
43.55409937165531,0.00004336088885791981
43.592406654525256,0.00005594976194918969
43.64124844018444,0.00007257395406130656
43.68402490605588,0.00009389059474678109
43.72212469114362,0.00012095878455956163
43.77427047995034,0.00015764281619655448
43.81896687035609,0.00020965961772739767
43.86118012796153,0.0002639885201429039
43.90474782163987,0.00034335346023992995
43.948664385215785,0.00044839275046340484
44.003252263305455,0.0005955418216444619
44.03973995023909,0.0007761560292516838
44.0865706035476,0.0010020222145972228
44.128229773668664,0.001299750197983476
44.140081089306555,0.001685941242168113
44.21671959709825,0.0021765605284118487
44.2546438071395,0.002803315313305098
44.30836977136461,0.0036534967037365846
44.34629398140585,0.00476151865644996
44.395279419375804,0.006118142338714941
44.43478380483543,0.007973634917697727
44.48534941822377,0.010490630089900678
44.52854087965964,0.0134053778769467
44.577861506354694,0.017526101253174074
44.633885907552,0.023277642771551532
44.68129117010356,0.030194061928132156
44.732646871201084,0.03951443362808664
44.77897474142193,0.05080268035143124
44.83068957329636,0.06589753488789271
44.878094835847925,0.08547748020894923
44.92837314461473,0.11087515846080136
44.97577840716629,0.14381917592396187
45.02892976214835,0.18655175469949858
45.073461978484666,0.24198134190298637
45.13322133976178,0.3198757633980431
45.17976468844877,0.4168867631954412
45.23004299721558,0.5407551300823884
45.27701730283486,0.6964690929198972
45.32772656853395,0.9098414809958509
45.39524315459224,1.2972773524717902
45.43450811953393,1.6369385702209769
45.49034098431689,2.1570606239582304
45.64203782448188,2.851424032771605
45.847460628871985,3.689922409553
46.04498255617016,4.741233238659781
46.262903111596586,6.179140793358423
46.458988515787134,7.735776663729626
47.02785166640588,8.30457369873465
47.573012185748844,8.110473383054538
48.00492680010752,7.6448391618963765
48.45791042004467,7.177589979049199
49.066277956123045,7.205937687111128
49.39021391689205,7.291654333041112
49.88796917368346,7.5549706709199596
50.29091390537174,7.735776663729626
51.416349953355116,8.015131154316453
51.981701603044115,7.8277958926031115
52.384646334732395,7.735776663729626
52.98862449464859,7.5549706709199596
53.664588423624565,7.205937687111128
54.099136663680554,7.037515462132547
54.72528117321577,6.712388452731489
55.17365594818263,6.402282024501553
55.58450155696283,6.106502239836245
55.900536640639906,5.755918953244416
56.27451148965779,5.361684432231797
56.65450605455523,4.763712559286536
56.99283289859882,3.9894405418265277
57.3523228062815,3.3017400293507775
