"Altitude [km]","Weight Percent [%]"
40.48192771084337,99.42462600690449
41.499330655957166,99.30955120828538
42.51673360107095,99.19447640966628
43.50736278447121,99.07940161104719
44.497991967871485,98.96432681242808
45.502008032128515,98.74856156501725
46.50602409638554,98.51841196777906
47.51004016064257,98.15880322209436
48.500669344042834,97.71288837744534
49.51807228915662,97.18066743383199
50.52208835341365,96.36075949367088
51.51271753681392,95.12370540851553
52.51673360107095,93.45512082853855
53.50736278447121,91.3837744533947
54.497991967871485,89.06789413118527
55.51539491298527,86.6800920598389
57.52342704149933,82.19217491369389
58.527443105756355,80.02013808975835
