"H [km]","Ls = 20°-90°, P [bar]","Ls = 20°-90°, T [K]","Ls = 90°-130°, P [bar]","Ls = 90°-130°, T [K]","Ls = 200°-270°, P [bar]","Ls = 200°-270°, T [K]","Ls = 270°-310°, P [bar]","Ls = 270°-310°, T [K]"
100,0.3069e-4,182.7,0.2904e-4,173.8,0.2861e-4,172.6,0.2551e-4,167.8
99,0.3929e-4,181.2,0.3765e-4,172.5,0.3717e-4,171.0,0.3344e-4,164.7
98,0.5041e-4,179.8,0.4890e-4,171.5,0.4840e-4,169.6,0.4404e-4,162.2
97,0.6480e-4,178.3,0.6361e-4,170.6,0.6317e-4,168.3,0.5824e-4,159.9
96,0.8351e-4,176.7,0.8287e-4,169.7,0.8261e-4,167.1,0.7732e-4,157.9
95,0.1079e-3,175.5,0.1081e-3,169.4,0.1082e-3,166.4,0.1030e-3,156.6
94,0.1394e-3,175.4,0.1408e-3,170.4,0.1417e-3,167.1,0.1371e-3,158.2
93,0.1802e-3,175.4,0.1833e-3,171.3,0.1854e-3,167.9,0.1818e-3,160.1
92,0.2329e-3,175.5,0.2382e-3,172.2,0.2423e-3,168.7,0.2404e-3,162.1
91,0.3011e-3,175.3,0.3091e-3,173.2,0.3162e-3,169.5,0.3165e-3,164.8
90,0.3894e-3,175.1,0.4005e-3,174.3,0.4121e-3,170.7,0.4148e-3,168.3
89,0.5038e-3,175.0,0.5181e-3,175.8,0.5360e-3,172.1,0.5400e-3,172.7
88,0.6521e-3,174.6,0.6686e-3,177.5,0.6955e-3,173.8,0.6980e-3,177.9
87,0.8439e-3,175.1,0.8603e-3,180.0,0.8997e-3,176.3,0.8951e-3,183.8
86,0.1091e-2,176.1,0.1103e-2,182.8,0.1159e-2,179.3,0.1139e-2,189.4
85,0.1408e-2,177.8,0.1408e-2,186.1,0.1487e-2,182.5,0.1440e-2,194.6
84,0.1811e-2,180.8,0.1790e-2,189.9,0.1898e-2,186.9,0.1810e-2,199.2
83,0.2316e-2,185.7,0.2262e-2,194.7,0.2408e-2,192.1,0.2263e-2,203.8
82,0.2942e-2,191.1,0.2844e-2,199.0,0.3035e-2,197.1,0.2819e-2,206.9
81,0.3712e-2,196.5,0.3560e-2,203.0,0.3805e-2,201.8,0.3501e-2,209.4
80,0.4655e-2,201.5,0.4437e-2,206.4,0.4746e-2,206.1,0.4339e-2,211.4
79,0.5809e-2,206.1,0.5514e-2,209.1,0.5895e-2,210.0,0.5369e-2,212.9
78,0.7214e-2,210.3,0.6835e-2,211.5,0.7297e-2,213.4,0.6635e-2,214.3
77,0.8927e-2,213.7,0.8456e-2,213.3,0.9005e-2,216.0,0.8189e-2,215.5
76,0.1101e-1,217.0,0.1045e-1,215.0,0.1109e-1,218.5,0.1010e-1,216.8
75,0.1354e-1,220.3,0.1288e-1,217.1,0.1362e-1,221.0,0.1243e-1,218.7
74,0.1660e-1,223.4,0.1585e-1,219.3,0.1670e-1,223.5,0.1527e-1,221.1
73,0.2031e-1,225.7,0.1946e-1,221.2,0.2043e-1,225.3,0.1871e-1,223.2
72,0.2480e-1,227.5,0.2386e-1,222.9,0.2496e-1,227.0,0.2290e-1,225.1
71,0.3024e-1,229.1,0.2922e-1,224.5,0.3045e-1,228.6,0.2799e-1,226.9
70,0.3683e-1,230.7,0.3573e-1,226.2,0.3709e-1,230.5,0.3415e-1,228.6
69,0.4479e-1,232.6,0.4362e-1,228.1,0.4511e-1,232.7,0.4160e-1,230.5
68,0.5438e-1,234.8,0.5316e-1,230.2,0.5475e-1,235.1,0.5060e-1,232.5
67,0.6590e-1,237.5,0.6467e-1,232.8,0.6632e-1,237.9,0.6145e-1,234.5
66,0.7967e-1,240.4,0.7848e-1,235.6,0.8016e-1,240.7,0.7450e-1,236.8
65,0.9609e-1,243.6,0.9503e-1,238.8,0.9668e-1,243.6,0.9015e-1,239.1
64,0.1156,246.9,0.1148,242.3,0.1163,246.5,0.1089,241.5
63,0.1387,250.8,0.1382,246.4,0.1397,250.0,0.1313,244.2
62,0.1660,254.7,0.1658,250.8,0.1673,253.8,0.1579,247.2
61,0.1981,259.3,0.1983,256.2,0.1996,259.2,0.1895,250.9
60,0.2357,263.7,0.2363,262.0,0.2374,264.7,0.2268,254.6
59,0.2793,270.1,0.2803,269.5,0.2811,271.8,0.2706,260.0
58,0.3298,277.2,0.3308,278.0,0.3314,279.7,0.3215,267.0
57,0.3874,285.8,0.3883,287.3,0.3888,288.2,0.3800,275.7
56,0.4530,294.6,0.4537,295.9,0.4541,296.7,0.4466,285.6
55,0.5272,303.4,0.5277,304.5,0.5280,305.2,0.5221,295.6
54,0.6110,312.1,0.6113,313.0,0.6113,313.6,0.6071,305.6
53,0.7052,320.8,0.7054,321.5,0.7054,321.9,0.7026,315.6
52,0.8110,329.4,0.8110,329.9,0.8109,330.2,0.8095,325.6
51,0.9293,338.0,0.9292,338.2,0.9290,338.4,0.9286,335.7
50,1.061,347.4,1.060,347.4,1.060,347.4,1.060,346.8
