"Electron density [1e11/m3]","Altitude [km]"
0.09689300568097378,120.26654411764707
0.3891153191723438,123.02389705882348
0.6940388987512067,125.78124999999994
1.0492711414944285,130.1470588235294
1.1833332005654231,133.36397058823525
1.5626590438645687,135.20220588235287
2.416346819480498,138.1893382352941
3.167034114541045,141.40624999999994
3.414206754797453,145.08272058823525
2.6844243830950463,150.36764705882348
2.1265531425832136,153.3547794117647
1.449529819587267,159.32904411764704
1.2012529432151227,162.08639705882348
0.9955011715411786,165.3033088235294
0.8761102204861887,168.52022058823525
0.8005606803797107,171.27757352941174
0.7426038220913618,174.4944852941176
0.7370440975343711,177.25183823529412
0.7098636449448082,181.1580882352941
0.5971860587021348,191.26838235294113
0.43883135427649594,198.16176470588232
0.3719598668286406,201.3786764705882
0.3036518833545287,204.3658088235294
0.2516420936385453,207.58272058823525
0.20854059125612856,210.11029411764704
0.16644830362874455,213.21231617647058
0.13452644288343277,216.23774509803917
0.11148462299312872,219.4929534313725
0.08898232361442522,222.36519607843132
0.08202512678798513,225.62040441176467
0.08516584273490062,228.68412990196074
0.07999592878786503,231.55637254901956
0.06425048558443613,234.4286151960784
0.06671061618799737,237.49234068627447
0.07704586710627707,240.7475490196078
0.0723688687918933,243.42830882352936
0.06797578334726262,246.6835171568627
0.05459624201158815,249.55575980392152
0.040675622083210385,258.7469362745097
0.03917560082087041,261.81066176470586
0.02974037143024006,264.8743872549019
0.03434794693618586,267.938112745098
0.03521922609110339,271.00183823529403
0.02992720403029146,274.06556372549016
0.027587307290732558,276.93780637254895
0.02358931906950578,280.0015318627451
0.016715863175772894,283.06525735294116
0.02017072446754821,295.32015931372547
