"Electron density [1e11/m3]","Altitude [km]"
0.04418772413637839,100.17909018751175
0.1762093087650971,103.50270791171249
0.23500655057912434,107.8011810409638
0.2924427451289382,111.18918528620964
0.3150361297148838,114.85921698577556
0.29707030582726435,119.32234415045662
0.2644051714861382,121.70799673719114
0.23010678042795552,126.4088856229738
0.21214095654033605,130.45417325035862
0.21282191780821913,133.75562575941683
0.24072294908882164,137.60375554492805
0.3048175093931855,141.27352328046072
0.3170124928805391,145.0635343967748
0.2609753323803199,149.17274013843974
0.21459084161592057,152.67985944761892
0.19442370977364054,156.35498410029652
0.186943639085557,160.17860663684087
0.16372268479643348,164.40899257281683
0.15277028682059557,168.07265808099328
0.13973324208417282,171.98615778296733
0.11299719724001256,176.08945280059436
0.10380309477445238,179.60014486666012
0.07984716245877466,183.9620506973406
0.062067552593959796,187.71658970577812
0.07043799326887323,191.44698376882388
0.051561011695050674,195.17167155056313
0.03166608930561332,199.49529889945097
0.06106471021262694,203.3745867924133
0.0884038171564927,207.09290838276308
0.07971390236489895,210.89371873349512
0.057780253711686935,215.0828667589866
0.054487263313109935,218.90246513796558
0.0755001888124367,223.4208362038853
0.08606246575342436,227.10541919805598
0.09152853659909277,231.4058591181431
0.08499726027397259,235.0420413122722
0.08114300199232338,239.0269406973506
0.09452663342375689,243.4082519511457
0.11056219178082172,247.13594167679224
0.11946440368748656,251.3869426861864
0.10956525748246859,255.706077470744
0.10001429430105468,259.3329122326379
0.11174949764185516,263.80350026308116
0.11332892515842907,267.6508714292704
0.09025064013237172,271.9147112943307
0.06849063910324582,275.89071945392027
0.05616438356164388,280.0121506682868
0.05219616708501684,284.3553879377911
0.07440297340192026,288.21992489948497
0.1216766817122723,292.8141757663557
0.1239726027397261,296.7800729040097
0.0953631012708096,301.0167459571822
0.07045234772233533,304.9063646777976
0.06335616438356162,309.1737545565006
0.0553284722144054,313.3984016230179
0.028150998750576806,317.69150920884886
0.014862228189073123,321.8644135652904
0.016095890410958824,326.30619684082626
-0.027131152508413914,330.00677705770124
-0.06845972467666972,334.8931136162366
-0.055393670940219186,339.0222357029965
-0.05171232876712328,342.7095990279465
-0.06015164709987553,347.6069201028436
