"Electron density [1e11/m3]","Altitude [km]"
0.01845282464831863,116.2404692604693
0.042636659935024725,116.84613348041918
0.07961942850101515,117.3253207603208
0.09170991471837175,117.58718146718147
0.10968173377477812,118.34782447282453
0.1316457019294781,118.78425898425903
0.13990421865925334,118.83413721413723
0.18628575144356552,119.00871101871107
0.2112968984125022,119.35287080487083
0.2593412600600988,119.76519750519756
0.32425257980770084,119.99558742415891
0.38111119580518393,120.69833605583608
0.4656889001113619,121.08319194319196
0.5427783409843253,121.71709890109892
0.6408329430953047,122.2258568458569
0.7469154657072439,122.93322083322084
0.8743056950040249,123.72673812673816
1.0234229754402815,124.9414997434998
1.1979729660278793,126.78291330291336
1.3725011304278993,129.53925230175233
1.5724556450316598,132.22644193644192
1.8406459481872184,133.5051383751384
2.154577470774898,134.5661843561844
2.5220516102744717,135.72698679698684
2.9522003321609023,137.00568323568328
3.4557131050392953,138.7975208575209
3.8199683941804308,140.18201960201964
3.738811824790865,143.37214805464808
3.2633820052071076,146.7115333315334
2.7878927292000397,149.01046629046633
2.3816843560222956,151.15976455976457
2.0346623499208256,153.52671328671332
1.7382029939094843,156.51940707940713
1.5063506521195746,159.568024948025
1.3337604282426616,162.97637065637068
1.172521609861587,166.16159441639448
1.0088758381122755,168.91188001188004
0.8618781403007422,171.82295488295492
0.734543923615917,174.5306626076626
0.648000443306079,178.62994969271895
0.603652511028753,182.6670488565489
0.5444055195531864,185.8444054594055
0.4978638725960677,189.9289034749035
0.4656889001113619,193.95528579528582
0.4273574095379493,197.55491535491538
0.37321980136955724,201.2189047542894
0.3584976191286454,204.9869143559144
0.3418213244611314,208.1355499512071
0.302406376033957,212.6054719022088
0.2924347924300405,216.66612860112863
0.28598097839353287,219.61358968535444
0.3232593767151764,222.48109890109893
0.3030907239179301,224.06922174042177
0.2841804245821962,227.81557558657562
0.2531080919714267,231.4425681740472
0.2268137907408867,235.15615170881244
0.24627466952303537,238.8431178030464
0.21547172676631857,240.5716557766558
0.18628575144356552,243.2803207603208
0.16248118313891344,244.91865435105439
0.15245281877482375,248.13275998133145
0.13990421865925334,249.34177264627266
0.1188370818044284,251.57535540752687
0.10210502122969183,252.8614752814753
0.08710307769554064,253.9093715473716
0.06693181148525168,255.13055687555692
0.0590211837495697,255.52186346472064
0.05038717289139874,256.2785874665875
0.04143318249657551,256.80330644490647
0.03694951666886239,257.17820935820936
0.019998690239739006,260.09439172054556
